54;1;7;10
13;1;6;10
16;1;6;10
20;1;6;10
49;1;5;10
1;1;4;10
11;1;4;10
19;1;4;10
50;1;4;10
14;1;3;10
21;1;3;10
24;1;2;3
30;1;2;6
46;1;2;10
48;1;2;10
53;1;2;10
12;1;1;10
27;1;1;1
28;1;1;2
37;1;1;1
45;1;1;2
51;1;1;10
52;1;1;7
2;1;0;2
3;1;0;10
4;1;0;10
5;1;0;10
6;1;0;9
7;0;0;-1
8;1;0;9
9;1;0;10
10;1;0;0
15;1;0;3
17;0;0;0
18;0;0;0
22;0;0;0
23;0;0;0
25;1;0;3
26;1;0;0
29;1;0;1
31;1;0;1
32;1;0;0
33;1;0;1
34;1;0;1
35;1;0;1
36;1;0;2
38;1;0;0
39;1;0;0
40;1;0;1
41;1;0;1
42;1;0;0
43;1;0;0
44;1;0;2
47;1;0;3
55;1;0;3
56;1;1;2
